Bid made: 2020/06/01 12:43:33.602010, BTC/USDT, Price: 11434.4, Amount: 1.37905e-05
Bid made: 2020/06/01 12:43:48.616302, BTC/USDT, Price: 11433.1, Amount: 1.26404e-05
Bid made: 2020/06/01 12:44:03.631674, DOGE/USDT, Price: 0.00308372, Amount: 42.952
Bid made: 2020/06/01 12:45:33.712944, ETH/BTC, Price: 0.0297951, Amount: 16.8408
Bid made: 2020/06/01 12:45:48.728665, ETH/BTC, Price: 0.0297864, Amount: 15.4391
Bid made: 2020/06/01 12:46:03.744433, ETH/BTC, Price: 0.0297849, Amount: 14.1507
Bid made: 2020/06/01 12:46:18.759286, ETH/BTC, Price: 0.0297939, Amount: 14.1464
Bid made: 2020/06/01 12:46:33.777965, ETH/BTC, Price: 0.0297866, Amount: 14.1499
Bid made: 2020/06/01 12:46:48.794316, ETH/BTC, Price: 0.0297866, Amount: 14.1499
Bid made: 2020/06/01 12:47:03.813813, ETH/BTC, Price: 0.0297939, Amount: 14.1464
Bid made: 2020/06/01 12:47:18.832929, DOGE/USDT, Price: 0.00308444, Amount: 39.3563
Bid made: 2020/06/01 12:47:33.853268, BTC/USDT, Price: 11431.9, Amount: 9.73203e-06
Bid made: 2020/06/01 12:47:48.874134, BTC/USDT, Price: 11431.9, Amount: 8.9194e-06
Bid made: 2020/06/01 12:48:03.892677, BTC/USDT, Price: 11431.9, Amount: 8.17463e-06
Bid made: 2020/06/01 12:48:18.912988, BTC/USDT, Price: 11436, Amount: 7.4894e-06
Bid made: 2020/06/01 12:48:33.932780, BTC/USDT, Price: 11437.1, Amount: 6.86337e-06
Bid made: 2020/06/01 12:48:48.951701, BTC/USDT, Price: 11439.6, Amount: 6.28892e-06
Bid made: 2020/06/01 12:49:03.970525, BTC/USDT, Price: 11439.6, Amount: 5.76378e-06
Bid made: 2020/06/01 12:49:18.989806, BTC/USDT, Price: 11443.1, Amount: 5.28089e-06
Bid made: 2020/06/01 12:49:34.008609, BTC/USDT, Price: 11445.1, Amount: 4.8391e-06
Bid made: 2020/06/01 12:49:49.023606, BTC/USDT, Price: 11442.9, Amount: 4.43586e-06
Bid made: 2020/06/01 12:50:04.035855, BTC/USDT, Price: 11443.2, Amount: 4.06539e-06
Bid made: 2020/06/01 12:50:19.053354, BTC/USDT, Price: 11443.2, Amount: 3.72593e-06
Bid made: 2020/06/01 12:50:34.069365, BTC/USDT, Price: 11443.2, Amount: 3.41481e-06
Bid made: 2020/06/01 12:50:49.084175, BTC/USDT, Price: 11442.7, Amount: 3.1298e-06
Bid made: 2020/06/01 12:51:04.097076, BTC/USDT, Price: 11439.6, Amount: 2.86925e-06
Bid made: 2020/06/01 12:51:19.110261, BTC/USDT, Price: 11439.6, Amount: 2.62967e-06
Bid made: 2020/06/01 12:51:34.126129, BTC/USDT, Price: 11439.6, Amount: 2.41009e-06
Bid made: 2020/06/01 12:51:49.140106, ETH/BTC, Price: 0.0297966, Amount: 12.9643
Bid made: 2020/06/01 12:52:04.155412, ETH/BTC, Price: 0.0297966, Amount: 12.9643
Bid made: 2020/06/01 12:52:19.171909, ETH/BTC, Price: 0.0297966, Amount: 12.9643
Bid made: 2020/06/01 12:52:34.185010, DOGE/USDT, Price: 0.00309283, Amount: 8.16994
Bid made: 2020/06/01 12:52:49.201066, BTC/USDT, Price: 11446.5, Amount: 2.02319e-06
Bid made: 2020/06/01 12:53:04.214401, BTC/USDT, Price: 11445.9, Amount: 1.85434e-06
Bid made: 2020/06/01 12:53:19.227940, BTC/USDT, Price: 11445.6, Amount: 1.69955e-06
Bid made: 2020/06/01 12:53:34.242989, BTC/USDT, Price: 11443.9, Amount: 1.55787e-06
Bid made: 2020/06/01 12:53:49.258584, BTC/USDT, Price: 11445.2, Amount: 1.42762e-06
Bid made: 2020/06/01 12:54:04.271833, BTC/USDT, Price: 11445.2, Amount: 1.30841e-06
Bid made: 2020/06/01 12:54:19.284816, BTC/USDT, Price: 11446.2, Amount: 1.19906e-06
Bid made: 2020/06/01 12:54:34.297071, BTC/USDT, Price: 11446.6, Amount: 1.0989e-06
Bid made: 2020/06/01 12:54:49.310606, BTC/USDT, Price: 11446.6, Amount: 1.00715e-06
Bid made: 2020/06/01 12:55:04.323449, BTC/USDT, Price: 11444.6, Amount: 9.23206e-07
Bid made: 2020/06/01 12:55:19.337328, BTC/USDT, Price: 11444.1, Amount: 8.46157e-07
Bid made: 2020/06/01 12:55:34.352968, BTC/USDT, Price: 11443.8, Amount: 7.75524e-07
Bid made: 2020/06/01 12:55:49.367434, DOGE/USDT, Price: 0.00309164, Amount: 2.63092
Bid made: 2020/06/01 12:56:04.383266, DOGE/USDT, Price: 0.00309094, Amount: 2.41179
Bid made: 2020/06/01 13:01:19.693933, ETH/USDT, Price: 283.361, Amount: 2.41114e-05
Bid made: 2020/06/01 13:04:04.890734, BTC/USDT, Price: 11422.3, Amount: 5.48202e-07
Bid made: 2020/06/01 13:04:19.908810, BTC/USDT, Price: 11422.3, Amount: 5.02427e-07
Bid made: 2020/06/01 13:04:34.927744, BTC/USDT, Price: 11421.8, Amount: 4.60497e-07
Bid made: 2020/06/01 13:04:49.947430, BTC/USDT, Price: 11421.8, Amount: 4.22046e-07
Bid made: 2020/06/01 13:05:04.966590, BTC/USDT, Price: 11421.8, Amount: 3.86805e-07
Bid made: 2020/06/01 13:05:19.982930, BTC/USDT, Price: 11421.8, Amount: 3.54507e-07
Bid made: 2020/06/01 13:05:35.000991, BTC/USDT, Price: 11421.5, Amount: 3.24914e-07
